iter	Passed	Remaining
575	10826	451
576	10845	432
577	10863	413
578	10880	394
579	10898	375
580	10916	357
581	10935	338
582	10953	319
583	10972	300
584	10991	281
585	11009	263
586	11027	244
587	11046	225
588	11063	206
589	11081	187
590	11099	169
591	11118	150
592	11135	131
593	11153	112
594	11171	93
595	11189	75
596	11208	56
597	11226	37
598	11243	18
599	11259	0
